baseline,kind,d,split,horizon,mode,metric,n_enc,r2,r2_ci_lo,r2_ci_hi,mae,mae_ci_lo,mae_ci_hi
jepa_d64_test1_noBN,jepa,64,test_b,8,z_dns,circulation_pos,42,0.7233440641018638,0.273628167149016,0.8492141182370446,0.8114880917786167,0.6195797874702261,1.0221261536746582
jepa_d64_test1_noBN,jepa,64,test_b,16,z_dns,circulation_pos,42,0.7749022337987822,0.5367728905677521,0.8602951249403806,0.8014882636684159,0.6216675987719066,0.9979948290061997
jepa_d64_test1_noBN,jepa,64,test_b,32,z_dns,circulation_pos,42,0.8609918733632914,0.7676389564452755,0.915825724307266,0.6351532752590844,0.48835942654752695,0.8156628475452363
jepa_d64_test1_noBN,jepa,64,test_b,64,z_dns,circulation_pos,42,0.8383552435261741,0.6616482333086859,0.9156907116711109,0.6790856276009811,0.5151381342265581,0.8745630466326924
jepa_d64_test1_noBN,jepa,64,test_b,1,z_dns,circulation_neg,42,0.8317810930524243,0.7030483060369572,0.8739604348234291,0.8342262955961185,0.59641681487207,1.1434807923951065
jepa_d64_test1_noBN,jepa,64,test_b,4,z_dns,circulation_neg,42,0.7776880733068264,0.4788652488047689,0.8370789101988908,1.052068075950853,0.7668337193918509,1.4199720204334385
jepa_d64_test1_noBN,jepa,64,test_b,8,z_dns,circulation_neg,42,0.8007156853148932,0.5083935813962595,0.8630137979561391,1.0390622912815233,0.7498298197481175,1.4166111185613963
jepa_d64_test1_noBN,jepa,64,test_b,16,z_dns,circulation_neg,42,0.8530650386877092,0.748086992728739,0.9320335589181258,0.7151133350969386,0.4369620754852424,1.094167898738582
jepa_d64_test1_noBN,jepa,64,test_b,32,z_dns,circulation_neg,42,0.8710512341411989,0.6646629734966768,0.933465013909183,0.6510959582773987,0.48427019109237596,0.8418694884620607
jepa_d64_test1_noBN,jepa,64,test_b,64,z_dns,circulation_neg,42,0.8573230523639772,0.7323482197423002,0.9327465716811618,0.7184141616983453,0.5300283903069664,0.9421673326963798
jepa_d64_test1_noBN,jepa,64,test_b,1,z_markov,C_L,42,0.6787787085460422,0.3411612809304435,0.8703709088018856,0.4483160329325604,0.31037792662483943,0.6103610406746179
jepa_d64_test1_noBN,jepa,64,test_b,4,z_markov,C_L,42,0.6789275058371301,-0.025863870327834864,0.802613943387342,0.7098396917097721,0.5171048851435519,0.9256536310346556
jepa_d64_test1_noBN,jepa,64,test_b,8,z_markov,C_L,42,0.7413080152349517,0.4734658264222019,0.8129482752141587,0.985053753022313,0.6816348382975543,1.3177897729002646
jepa_d64_test1_noBN,jepa,64,test_b,16,z_markov,C_L,42,0.7232563898260682,0.5274027374648385,0.8925870676574151,0.803320134817591,0.505749640947974,1.1766135734187502
jepa_d64_test1_noBN,jepa,64,test_b,32,z_markov,C_L,42,0.42104474510368173,-0.28702251272222157,0.7401643543073105,0.8327797102005318,0.5956142694074018,1.1268909086614824
jepa_d64_test1_noBN,jepa,64,test_b,64,z_markov,C_L,42,-3.289708052024829,-12.502221758604515,-0.49554762473307973,0.8483575056246915,0.6661670497164012,1.0635377345034052
jepa_d64_test1_noBN,jepa,64,test_b,1,z_markov,C_D,42,0.472791006396146,-0.06014495873057522,0.7376870386705587,0.21204962872029504,0.14601230412413535,0.2874459074847058
jepa_d64_test1_noBN,jepa,64,test_b,4,z_markov,C_D,42,0.2727129429219396,-0.2377141808316928,0.6101337368954954,0.2168723048170265,0.13994492399097785,0.2989142481253837
jepa_d64_test1_noBN,jepa,64,test_b,8,z_markov,C_D,42,0.5990921514828828,0.392598918624547,0.8142193649573582,0.21033745378625454,0.1264399548667485,0.3184452826189247
jepa_d64_test1_noBN,jepa,64,test_b,16,z_markov,C_D,42,0.6337689756602967,0.4751551674805291,0.7924836631156431,0.25651410108814104,0.16125710179359404,0.3773341669041864
jepa_d64_test1_noBN,jepa,64,test_b,32,z_markov,C_D,42,0.5240563960587024,0.20748123009165706,0.6438281770511719,0.30886402587694717,0.230210094632875,0.39624208372764536
jepa_d64_test1_noBN,jepa,64,test_b,64,z_markov,C_D,42,-0.952903507153879,-5.16430897576567,0.05400821273062008,0.2384035599279932,0.1822513909428009,0.29872072846124725
jepa_d64_test1_noBN,jepa,64,test_b,1,z_markov,I_y,42,-0.45941529839685935,-1.7820307408943603,0.3831612036385708,2.4041793173748127,1.640972091985551,3.328622517071259
jepa_d64_test1_noBN,jepa,64,test_b,4,z_markov,I_y,42,-0.6981778961011909,-1.5535009784703167,0.11328157377466591,2.4607458327323135,1.6631928827213796,3.443060317561569
jepa_d64_test1_noBN,jepa,64,test_b,8,z_markov,I_y,42,-0.5753232675998863,-1.069094602223403,-0.00013305569145856042,2.618361487822703,1.795934827393066,3.649294932557174
jepa_d64_test1_noBN,jepa,64,test_b,16,z_markov,I_y,42,0.055886854642952954,-0.22027120798510216,0.464120590047284,2.1511671997663497,1.301322748243144,3.327931917372387
jepa_d64_test1_noBN,jepa,64,test_b,32,z_markov,I_y,42,0.21459644325632143,-0.4836416070726348,0.4428858136034078,2.011413080746408,1.5861851771399706,2.4833228228656425
jepa_d64_test1_noBN,jepa,64,test_b,64,z_markov,I_y,42,0.231032164040327,-0.42080713830507843,0.4174225235157682,3.761004223163503,2.6051923524924807,5.029993269246151
jepa_d64_test1_noBN,jepa,64,test_b,1,z_markov,wake_enstrophy,42,0.9114955962264751,0.6146272807805682,0.9431807223505344,19.841998691134354,15.089731257497771,25.00512594779052
jepa_d64_test1_noBN,jepa,64,test_b,4,z_markov,wake_enstrophy,42,0.7519142297483749,0.1959367797340541,0.9363510798183031,27.311572958215173,18.76100177768342,39.70952006299332
jepa_d64_test1_noBN,jepa,64,test_b,8,z_markov,wake_enstrophy,42,0.6721136374842527,-0.22045825506479455,0.9144215556020163,30.11488566121719,19.94437888482901,45.45902671643166
jepa_d64_test1_noBN,jepa,64,test_b,16,z_markov,wake_enstrophy,42,0.44880356540149857,-0.9642933537989005,0.7942179935667907,41.308974685813936,29.100160427834723,59.22292644420692
jepa_d64_test1_noBN,jepa,64,test_b,32,z_markov,wake_enstrophy,42,0.5594724680349921,0.2921575855570982,0.7381343833400811,44.54403509595794,31.964668975595213,58.17887226440069
jepa_d64_test1_noBN,jepa,64,test_b,64,z_markov,wake_enstrophy,42,-0.0039014910050227947,-1.3519988820036197,0.4748532328775808,62.689298335992504,46.12959162924368,80.51555398024396
jepa_d64_test1_noBN,jepa,64,test_b,1,z_markov,circulation_pos,42,0.8986483142138558,0.7777163155749897,0.9426648423253287,0.4221294175169456,0.32821070994993873,0.5208521067195895
jepa_d64_test1_noBN,jepa,64,test_b,4,z_markov,circulation_pos,42,0.7686994753403902,0.5554721651308653,0.9324323329343344,0.5285666276669914,0.3561532170815982,0.7797445508509595
jepa_d64_test1_noBN,jepa,64,test_b,8,z_markov,circulation_pos,42,0.565553733627401,0.24331333180016762,0.8828678174706164,0.7186297081765446,0.45853421201910693,1.1029393660239593
jepa_d64_test1_noBN,jepa,64,test_b,16,z_markov,circulation_pos,42,0.2010000886875717,-0.09329248552716264,0.5701491674584873,1.2496730572541723,0.8759429545803838,1.7584608468004153
jepa_d64_test1_noBN,jepa,64,test_b,32,z_markov,circulation_pos,42,0.292736069728607,-0.03368221046030773,0.5141469515835531,1.5278284093864538,1.2072049517659291,1.8526465943547479
jepa_d64_test1_noBN,jepa,64,test_b,64,z_markov,circulation_pos,42,0.326919739349794,-0.23169592334472094,0.6055882861439673,1.306804745184119,0.9433291292731392,1.6809260561324653
jepa_d64_test1_noBN,jepa,64,test_b,1,z_markov,circulation_neg,42,0.8208334553822203,0.7368446114871541,0.8708620275599566,0.7801398319911593,0.5053364094067174,1.1231826333324668
jepa_d64_test1_noBN,jepa,64,test_b,4,z_markov,circulation_neg,42,0.729483337978245,0.60983006566966,0.8145071523626977,0.9953800547598377,0.6588759832367038,1.4318808416921238
jepa_d64_test1_noBN,jepa,64,test_b,8,z_markov,circulation_neg,42,0.6523758079264568,0.521098736118177,0.7687884023094175,1.2327771976250732,0.8188244900319528,1.7897811125575056
jepa_d64_test1_noBN,jepa,64,test_b,16,z_markov,circulation_neg,42,0.6067493280566418,0.4013400159598622,0.7519726539060405,1.303220294134422,0.8882034776993004,1.8955382648366765
jepa_d64_test1_noBN,jepa,64,test_b,32,z_markov,circulation_neg,42,0.7046891099791086,0.31562905701641136,0.8386542601872051,1.0609952077602647,0.8177813731879343,1.3218916032356343
jepa_d64_test1_noBN,jepa,64,test_b,64,z_markov,circulation_neg,42,0.41564482234368394,-0.36302388953968,0.7717545619657131,1.367815366919223,0.9528190347169586,1.8807973577402721
jepa_d64_test1_noBN,jepa,64,test_b,1,z_full,C_L,42,0.6490904247579601,0.3300256246122949,0.8315666915910285,0.510665401544402,0.3795508494118495,0.6592332391647551
jepa_d64_test1_noBN,jepa,64,test_b,4,z_full,C_L,42,0.6311180370157801,-0.07930376479600594,0.7722150156215767,0.7445674128083529,0.5252943631389125,0.9802226834956941
jepa_d64_test1_noBN,jepa,64,test_b,8,z_full,C_L,42,0.8367804476406193,0.6657369058303115,0.8981224264065715,0.7418319615424971,0.4945094593838718,1.0263718351228739
jepa_d64_test1_noBN,jepa,64,test_b,16,z_full,C_L,42,0.7586612025409671,0.562215278150564,0.9164217284847277,0.7126991759130733,0.43118970370204535,1.060888399315578
jepa_d64_test1_noBN,jepa,64,test_b,32,z_full,C_L,42,0.40332644835003617,-0.11534608651109875,0.7120350765711381,0.7934711979729754,0.5255668342372422,1.1162158405435487
jepa_d64_test1_noBN,jepa,64,test_b,64,z_full,C_L,42,-0.7317193027321793,-2.004804323351573,-0.3566458410524815,0.4593794948490101,0.3166171233683521,0.6418145381384813
jepa_d64_test1_noBN,jepa,64,test_b,1,z_full,C_D,42,0.4933507881590815,-0.02628358384905329,0.7623498311093645,0.20485198530227314,0.1371632412523705,0.27532920748617323
jepa_d64_test1_noBN,jepa,64,test_b,4,z_full,C_D,42,0.2447224589725372,-0.2505224732641192,0.6328728535103848,0.2164609658834703,0.14148362690555952,0.3028686428972677
jepa_d64_test1_noBN,jepa,64,test_b,8,z_full,C_D,42,0.666344466893625,0.508730101104956,0.844886952278231,0.19068334016183502,0.11257957932293315,0.28333030017206756
jepa_d64_test1_noBN,jepa,64,test_b,16,z_full,C_D,42,0.5871175710947301,0.4097928782503886,0.769592872354595,0.2886005706897333,0.19306124765915805,0.40535097554492905
jepa_d64_test1_noBN,jepa,64,test_b,32,z_full,C_D,42,0.47344132526986715,0.15084240367596657,0.6470850763118199,0.28462916896864066,0.19161762789549147,0.38759268840621336
jepa_d64_test1_noBN,jepa,64,test_b,64,z_full,C_D,42,0.013797838678601071,-0.6572303561397576,0.23635016573125264,0.13942667081486204,0.09291947647427348,0.19353194858266085
jepa_d64_test1_noBN,jepa,64,test_b,1,z_full,I_y,42,-0.4006558594547083,-1.780299342928723,0.4450495934035564,2.3250826119582264,1.5836116128730622,3.1562691591115803
jepa_d64_test1_noBN,jepa,64,test_b,4,z_full,I_y,42,-0.6169636335966582,-1.5444777598696589,0.19317369785743582,2.3696383198842104,1.5949564630247242,3.340732951175195
jepa_d64_test1_noBN,jepa,64,test_b,8,z_full,I_y,42,-0.3244498192149641,-0.8317199020354366,0.1912560925343052,2.3657405568759255,1.6142963713254523,3.3382354001687027
jepa_d64_test1_noBN,jepa,64,test_b,16,z_full,I_y,42,0.2687225840568055,0.02427145754308295,0.6289163247694305,1.9499211442567206,1.225851161653193,2.944658144873187
jepa_d64_test1_noBN,jepa,64,test_b,32,z_full,I_y,42,0.4565038430853282,-0.2963577139100267,0.7255798064408947,1.5814701022594864,1.197774001977548,2.033148422611476
jepa_d64_test1_noBN,jepa,64,test_b,64,z_full,I_y,42,0.18954843603963123,-0.315798403726207,0.3779764322949541,3.71578371795983,2.494925365440668,5.053853924755946
jepa_d64_test1_noBN,jepa,64,test_b,1,z_full,wake_enstrophy,42,0.9175195193605702,0.6045179858170462,0.9518239452071734,19.697573317528757,15.298614153795905,24.385661768096014
jepa_d64_test1_noBN,jepa,64,test_b,4,z_full,wake_enstrophy,42,0.7518698159012108,0.25482697274742044,0.9375159576541063,26.93561540692135,18.626730241494712,39.344728147816454
jepa_d64_test1_noBN,jepa,64,test_b,8,z_full,wake_enstrophy,42,0.6370839986643326,-0.4262408479077733,0.8962371502171602,33.125496313905764,22.55956243709542,47.94516131296618
jepa_d64_test1_noBN,jepa,64,test_b,16,z_full,wake_enstrophy,42,0.3925296266212711,-0.5174706466713446,0.7280229756002166,39.78802022035939,25.733072605837656,59.68633335160004
jepa_d64_test1_noBN,jepa,64,test_b,32,z_full,wake_enstrophy,42,0.5075311616347546,-0.01046034438016494,0.7740848158622965,46.20435131044469,33.45042236325396,61.124188918878076
jepa_d64_test1_noBN,jepa,64,test_b,64,z_full,wake_enstrophy,42,0.2528558144627481,-0.02819694500854517,0.5622215476518004,43.88308429971618,28.0325553109789,63.39554701960145
jepa_d64_test1_noBN,jepa,64,test_b,1,z_full,circulation_pos,42,0.8827730614081934,0.7490853893620227,0.9332308743855171,0.48099290328051253,0.3866047898774972,0.5773720697423046
jepa_d64_test1_noBN,jepa,64,test_b,4,z_full,circulation_pos,42,0.7479866316351482,0.5224239927680161,0.9154646359341647,0.5743704348607631,0.3899385610108866,0.8108445134051103
jepa_d64_test1_noBN,jepa,64,test_b,8,z_full,circulation_pos,42,0.5658130635844136,0.2640100155671924,0.8558598924237941,0.750260714632948,0.504363098160282,1.1077106475482783
jepa_d64_test1_noBN,jepa,64,test_b,16,z_full,circulation_pos,42,0.27719935802618856,-0.06198254352579611,0.6964492452247208,1.028205972984893,0.6678267206774845,1.541358071967323
jepa_d64_test1_noBN,jepa,64,test_b,32,z_full,circulation_pos,42,0.742906070246381,0.5617488951092774,0.8650302553684281,0.8281809831390629,0.624749197959038,1.0915578800227204
jepa_d64_test1_noBN,jepa,64,test_b,64,z_full,circulation_pos,42,0.5536001896391186,0.2859887555899673,0.732938414894679,1.0510922574247559,0.7581114546158072,1.3980860512234454
jepa_d64_test1_noBN,jepa,64,test_b,1,z_full,circulation_neg,42,0.8226624668883808,0.7036988996248124,0.8783204117534419,0.7727089065773045,0.5019287740599849,1.1081917329612208
jepa_d64_test1_noBN,jepa,64,test_b,4,z_full,circulation_neg,42,0.7322112163426423,0.6518639488208029,0.8287137377209082,0.9755114919142552,0.6236662326475915,1.4222619074211347
jepa_d64_test1_noBN,jepa,64,test_b,8,z_full,circulation_neg,42,0.6491613092084332,0.5286041936025435,0.7807128258435411,1.2016575706687762,0.7804721702728279,1.748883640467514
jepa_d64_test1_noBN,jepa,64,test_b,16,z_full,circulation_neg,42,0.6464246275169612,0.5180352966516147,0.8520770415221367,1.0578914744079977,0.6334631444291512,1.6465077651036009
jepa_d64_test1_noBN,jepa,64,test_b,32,z_full,circulation_neg,42,0.8100793288268736,0.41003635532945043,0.936094065715484,0.75119089026095,0.5445057311500179,1.0209343964622901
jepa_d64_test1_noBN,jepa,64,test_b,64,z_full,circulation_neg,42,0.46665399720108247,0.0615813070569599,0.742501746594578,1.2456103357804555,0.8292279562391941,1.7276383689230486
jepa_d64_test1_noBN,jepa,64,test_c,1,z_dns,C_L,24,0.7373144533928673,0.4335946575840746,0.860214927488859,0.9895622080251639,0.7507518366371788,1.2423872031990053
jepa_d64_test1_noBN,jepa,64,test_c,4,z_dns,C_L,24,0.825768833664686,0.7398753706724851,0.8785878406684958,1.0219157953859366,0.8095473425811979,1.2641146560424208
jepa_d64_test1_noBN,jepa,64,test_c,8,z_dns,C_L,24,0.8441569337718094,0.6533666268203202,0.9361784668379672,1.0763886699644833,0.7002510304121281,1.4846639133027497
jepa_d64_test1_noBN,jepa,64,test_c,16,z_dns,C_L,24,0.9103982024079796,0.8366269175205121,0.9518684903170359,1.0323511779908403,0.6924444935283774,1.3921398516178738
jepa_d64_test1_noBN,jepa,64,test_c,32,z_dns,C_L,24,-2.998603202191232,-7.698165228911467,-0.9280242665914367,1.0380865998865805,0.7008589699781641,1.390306512699701
jepa_d64_test1_noBN,jepa,64,test_c,64,z_dns,C_L,24,0.25663526584086904,-0.5355219925422967,0.5684256576867762,0.2387458132319503,0.1610097972507697,0.32033060608828623
jepa_d64_test1_noBN,jepa,64,test_c,1,z_dns,C_D,24,-5.31633936396261,-14.661556925788357,-2.4473434050735863,0.6739208103147604,0.5237830184198148,0.831230113119221
jepa_d64_test1_noBN,jepa,64,test_c,4,z_dns,C_D,24,-12.24974130004174,-26.676669246984446,-6.4838815240467875,0.9083333397992964,0.6826017000612211,1.140577320240262
jepa_d64_test1_noBN,jepa,64,test_c,8,z_dns,C_D,24,-11.89044919338715,-20.134539387298126,-7.856143030406817,1.0362423545302752,0.7385804933538005,1.3385788822073004
jepa_d64_test1_noBN,jepa,64,test_c,16,z_dns,C_D,24,-1.1671012164178967,-3.4076466196600537,0.277585389848088,0.5852535092704074,0.37336070156693324,0.8832354729454661
jepa_d64_test1_noBN,jepa,64,test_c,32,z_dns,C_D,24,-6.701337389995325,-16.91266627810046,-2.0305449128650204,0.21552584863395396,0.1398002163344014,0.30254267475060365
jepa_d64_test1_noBN,jepa,64,test_c,64,z_dns,C_D,24,-2.152010608136666,-8.521208998684692,-0.24866950744417965,0.07676666053075971,0.0507768460072351,0.10500098345731859
jepa_d64_test1_noBN,jepa,64,test_c,1,z_dns,I_y,24,-3.3807703840889367,-6.148617442440707,-1.6151496056337653,3.843560410454947,2.9429590614287235,4.812305691699797
jepa_d64_test1_noBN,jepa,64,test_c,4,z_dns,I_y,24,-4.024521142963842,-8.479276062091026,-1.8909884384383242,3.457488428036316,2.592718813926711,4.375662452429496
jepa_d64_test1_noBN,jepa,64,test_c,8,z_dns,I_y,24,-7.297702874619759,-13.636046980799401,-4.428008841339662,3.6157764835541,2.7048716646252506,4.569195824593669
jepa_d64_test1_noBN,jepa,64,test_c,16,z_dns,I_y,24,-11.189897229481646,-27.500496269768885,-5.258640031228138,3.482553707928799,2.321000654172862,4.7586685523762835
jepa_d64_test1_noBN,jepa,64,test_c,32,z_dns,I_y,24,-5.705508151348249,-13.915501256799326,-3.199860664981792,2.992655861361589,2.3082290940723214,3.7931979686641926
jepa_d64_test1_noBN,jepa,64,test_c,64,z_dns,I_y,24,0.176135175339578,-0.42868998705867317,0.32187187643332127,3.639450011466663,2.3753157984712225,4.978582489733928
jepa_d64_test1_noBN,jepa,64,test_c,1,z_dns,wake_enstrophy,24,-1.3557364538002594,-4.215099161073187,-0.3365824895162306,99.31496844785028,82.21248321542502,116.89368051869701
jepa_d64_test1_noBN,jepa,64,test_c,4,z_dns,wake_enstrophy,24,-0.3894094394980807,-1.9928991750498106,0.22429209481195472,97.48526023653433,80.62614849485271,114.98676487191479
jepa_d64_test1_noBN,jepa,64,test_c,8,z_dns,wake_enstrophy,24,0.7865226103383012,0.5859217459399988,0.8914636957276431,54.45225135236228,37.59552687356644,71.74366041139187
jepa_d64_test1_noBN,jepa,64,test_c,16,z_dns,wake_enstrophy,24,0.7999308244784218,0.5793241140601864,0.8958482461366474,78.2808039045632,58.780255412558596,98.69004810421539
jepa_d64_test1_noBN,jepa,64,test_c,32,z_dns,wake_enstrophy,24,0.8350052804415702,0.7273898238994648,0.8994218561984069,54.77555855842052,39.68043625240298,70.92429546149262
jepa_d64_test1_noBN,jepa,64,test_c,64,z_dns,wake_enstrophy,24,0.8930185404351657,0.795166938125293,0.9323284399296142,27.994150578325076,22.633415287775453,33.623166644560314
jepa_d64_test1_noBN,jepa,64,test_c,1,z_dns,circulation_pos,24,-1.2092390438351854,-2.70966470660648,-0.5394211145746486,1.8495970729221172,1.5465706110188362,2.134563856265341
jepa_d64_test1_noBN,jepa,64,test_c,4,z_dns,circulation_pos,24,-2.138338471868109,-6.885624169793385,-0.7416546038100154,2.2538934696348965,1.9342011785797653,2.546646499346414
jepa_d64_test1_noBN,jepa,64,test_c,8,z_dns,circulation_pos,24,-0.7760705720344749,-3.9149746646881605,0.28688935170740787,1.4980162836899413,0.9663471772286469,2.0907839546835727
jepa_d64_test1_noBN,jepa,64,test_c,16,z_dns,circulation_pos,24,0.27107974700783,-0.4373085187673076,0.5521489539140937,1.388457225408971,1.1018531892655712,1.663098716991184
jepa_d64_test1_noBN,jepa,64,test_c,32,z_dns,circulation_pos,24,0.7821954081140864,0.5281372047733184,0.8906160674855448,1.0421287730004023,0.7690859253493323,1.3550109048839079
jepa_d64_test1_noBN,jepa,64,test_c,64,z_dns,circulation_pos,24,0.9264582816555859,0.8702150927524989,0.9577319948314627,0.624961713417933,0.4607623241408466,0.8015641810112492
jepa_d64_test1_noBN,jepa,64,test_c,1,z_dns,circulation_neg,24,-7.260124721758402,-14.91483588948199,-3.5813281355127327,1.3806091493940837,1.0288372762320404,1.7430693732460965
jepa_d64_test1_noBN,jepa,64,test_c,4,z_dns,circulation_neg,24,-4.272474809364294,-10.202133484893581,-1.632683907902497,1.739370440768486,1.2740021658220801,2.178749891357736
jepa_d64_test1_noBN,jepa,64,test_c,8,z_dns,circulation_neg,24,-1.0253529588818457,-3.3929461137258308,-0.005523163652969811,1.89100817791297,1.380761727062265,2.420023832215301
jepa_d64_test1_noBN,jepa,64,test_c,16,z_dns,circulation_neg,24,0.00682414483641236,-1.303946652350846,0.4937798921656592,1.9642487962159187,1.6248500962979455,2.3335804244537455
jepa_d64_test1_noBN,jepa,64,test_c,32,z_dns,circulation_neg,24,0.5019444305937688,0.09177212233925162,0.7020989039553822,1.3310076158082451,1.0449619639270813,1.6111386616966885
jepa_d64_test1_noBN,jepa,64,test_c,64,z_dns,circulation_neg,24,0.694457957569762,0.3064809338091108,0.8454418945167421,0.662845769646003,0.4669902316906867,0.8912095745056077
jepa_d64_test1_noBN,jepa,64,test_c,1,z_markov,C_L,24,0.7979518549547697,0.5027704044515511,0.9100268223334701,0.8058055891987852,0.5741538150239814,1.058071478435418
jepa_d64_test1_noBN,jepa,64,test_c,4,z_markov,C_L,24,0.8277799704385634,0.7076492777481054,0.8909599746234266,0.9828248735735002,0.7295267437493795,1.2194565009539537
jepa_d64_test1_noBN,jepa,64,test_c,8,z_markov,C_L,24,0.4825558999454095,0.11915050773056866,0.6664378271111779,2.197650019602721,1.619047623910524,2.7900133380398104
jepa_d64_test1_noBN,jepa,64,test_c,16,z_markov,C_L,24,0.785481579263696,0.6727851216657824,0.8668688359374329,1.6269750663071936,1.1440244874965029,2.198553178480115
jepa_d64_test1_noBN,jepa,64,test_c,32,z_markov,C_L,24,-2.308651494883662,-5.429901619191672,-0.5140579678880869,0.8608652340024124,0.5226419439923283,1.2326317675006881
jepa_d64_test1_noBN,jepa,64,test_c,64,z_markov,C_L,24,-12.39778549578736,-34.87927847681453,-4.776063313749571,0.9521954072357494,0.6174965640663668,1.3391286419670891
